CompanyID,CompanyName,Idea,Sector,SubSector,BusinessModel,FundingStage,FundingRaisedUSD_millions,MonthlyRevenueUSD_thousands,MonthlyBurnUSD_thousands,MonthlyGrowthPercent,TeamSize,FoundersAvgExperienceYears,MarketSizeUSD_billions,TAMGrowthPercent,ProductDifferentiationScore,CompetitiveMoatScore,RegulatoryRiskScore,LocationCountry,RiskScore
20,CoreAnalytics,Esports solution in the Gaming space,Gaming,Esports,B2B SaaS,Pre-Seed,10.87,38.83,82.3,24.73,11,3.9,123.77,14.87,1,4,2,USA,57.41
21,OrbitAnalytics,Vision solution in the AI/ML space,AI/ML,Vision,Marketplace,Series A,21.04,242.85,309.31,20.61,54,3.2,162.25,12.53,4,9,3,Netherlands,49.03
22,LambdaGaming,VR/AR Games solution in the Gaming space,Gaming,VR/AR Games,Hardware,Pre-Seed,3.49,75.75,283.54,25.71,7,6.3,94.19,9.05,2,7,6,Australia,62.44
23,BetaSystems,OT Security solution in the Cybersecurity space,Cybersecurity,OT Security,B2B SaaS,Seed,12.79,19.36,0,30.89,14,2.6,125.33,3.11,6,2,4,Germany,55.96
24,EpsilonFinance,Carbon Capture solution in the CleanTech space,CleanTech,Carbon Capture,B2C Subscription,Seed,12.73,102.28,90.16,41.44,20,5.3,159.45,5.52,4,2,8,Israel,63.88
25,FusionTech,Telemedicine solution in the HealthTech space,HealthTech,Telemedicine,B2B SaaS,Series B,28.96,594.26,738.36,23.66,117,5.1,110.75,11.29,4,3,7,Brazil,66.63
26,ApexHealth,Ride-sharing solution in the Mobility space,Mobility,Ride-sharing,B2C Subscription,Seed,4.38,36.96,90.25,41.22,19,6.1,72.48,11.85,7,5,8,Canada,55.9
27,EpsilonNetworks,OT Security solution in the Cybersecurity space,Cybersecurity,OT Security,Marketplace,Pre-Seed,10.54,88.73,60.13,19.4,7,6.9,101.62,13.13,1,10,9,USA,59.39
28,BetaComms,Vision solution in the AI/ML space,AI/ML,Vision,Hardware,Seed,2.34,50.92,84.21,21.99,29,2.8,78.86,10.36,9,3,1,Israel,45.7
29,GammaMobility,Digital Pharmacy solution in the HealthTech space,HealthTech,Digital Pharmacy,B2B SaaS,Series A,110.66,202.4,235.29,20.88,43,6.6,16.1,6.15,4,7,2,Netherlands,46.45
30,SparkLabs,Solar solution in the CleanTech space,CleanTech,Solar,Hardware,Series A,12.2,270.53,367.12,18.57,53,4.6,147.54,12.45,10,9,6,Canada,46.09
31,LambdaAI,Battery Storage solution in the CleanTech space,CleanTech,Battery Storage,Hardware,Pre-Seed,3.81,21.99,63.75,26.1,13,5.4,79.06,2.14,5,8,6,India,52.09
32,SparkComms,WealthTech solution in the FinTech space,FinTech,WealthTech,B2B SaaS,Pre-Seed,5.76,66.21,72.94,20.97,10,5.2,110.81,7.74,4,9,5,UK,49.7
33,LambdaEnergy,Vision solution in the AI/ML space,AI/ML,Vision,Marketplace,Pre-Seed,5.77,90.19,138.92,33.58,5,6.3,189.56,14.82,9,5,10,Israel,57.38
34,DeltaDynamics,InsurTech solution in the FinTech space,FinTech,InsurTech,Marketplace,Pre-Seed,5.04,16.79,88.15,-0.37,4,7.1,13.15,3.54,2,9,3,Canada,51.35
35,NovaNetworks,D2C solution in the E-commerce space,E-commerce,D2C,Freemium SaaS,Series A,26,258.64,336.34,30.33,69,7.4,46.27,14.52,5,9,8,Canada,53.75
36,VertexAI,Payments solution in the FinTech space,FinTech,Payments,B2B SaaS,Pre-Seed,5.36,61.2,74.07,20.98,12,2.5,124.79,5.61,3,5,3,Brazil,55.41
37,FusionTech,Supply Chain solution in the Agritech space,Agritech,Supply Chain,B2B SaaS,Pre-Seed,6.51,0,51.63,1.9,13,5.4,173.48,2.59,3,9,1,Singapore,46.31
38,VertexDynamics,Esports solution in the Gaming space,Gaming,Esports,B2B SaaS,Seed,6.65,96.32,101.47,22.95,20,1.8,56.13,2.73,1,6,4,Germany,59.01
39,FusionFinance,Wearables solution in the HealthTech space,HealthTech,Wearables,Hybrid,Series A,24.72,315.12,453.96,18.12,44,3.3,135,10.04,4,3,3,Australia,60.38
40,NovaFinance,Lending solution in the FinTech space,FinTech,Lending,Freemium SaaS,Series B,83.8,558.61,655.14,17.42,129,10.1,170.73,9.17,4,5,3,India,51.08
41,NimbusAnalytics,Network Security solution in the Cybersecurity space,Cybersecurity,Network Security,B2C Subscription,Series B,124.12,608.3,678.94,12.31,124,5.1,4.88,6.56,8,6,5,Germany,51.06
42,ThetaLogistics,Solar solution in the CleanTech space,CleanTech,Solar,Marketplace,Seed,5.62,13.46,88.37,28.86,18,3.7,157.16,7.16,2,5,6,Israel,63.09
43,AlphaSystems,Cloud Security solution in the Cybersecurity space,Cybersecurity,Cloud Security,Marketplace,Pre-Seed,16.2,66.54,79.11,27.96,7,1.8,70.44,13.66,5,1,2,Netherlands,56.23
44,NovaFinance,Cloud Security solution in the Cybersecurity space,Cybersecurity,Cloud Security,Hybrid,Series C,80.65,1102.75,1307.33,10.53,210,5,57.16,4.3,2,7,10,Germany,72.83
45,VertexTech,Marketplace solution in the E-commerce space,E-commerce,Marketplace,Hybrid,Series B,17.34,590.42,711.38,-7.83,126,7,18.19,13.36,9,4,6,Australia,56.66
46,SparkBiotech,Wearables solution in the HealthTech space,HealthTech,Wearables,Freemium SaaS,Series B,143.12,642.57,740.07,7.64,110,7.2,97.94,10.04,5,9,5,Australia,50.76
47,SigmaCloud,Autonomous Systems solution in the AI/ML space,AI/ML,Autonomous Systems,B2C Subscription,Pre-Seed,4.48,0,42.57,10.12,8,2.7,25.71,13.58,7,3,10,Netherlands,68.24
48,FusionTech,Subscription Box solution in the E-commerce space,E-commerce,Subscription Box,Marketplace,Seed,3.11,184.36,265.31,19.92,13,7,118.19,11.69,7,10,10,Singapore,54.69
49,PioneerNetworks,Autonomous Vehicles solution in the Mobility space,Mobility,Autonomous Vehicles,Hybrid,Seed,3.22,90.48,64.8,6.17,22,1.2,22.15,3.99,3,2,5,Israel,65.98
50,GammaAnalytics,Game Engines solution in the Gaming space,Gaming,Game Engines,Freemium SaaS,Seed,11.59,67.47,56.61,14.08,12,2.3,83.26,14.77,4,3,1,USA,53.37
51,SparkLabs,Carbon Capture solution in the CleanTech space,CleanTech,Carbon Capture,Hardware,Seed,6.1,54.62,36.71,27.55,15,4.2,115.18,5.64,10,4,7,Brazil,52.09
52,EpsilonTech,Identity solution in the Cybersecurity space,Cybersecurity,Identity,B2B SaaS,Series A,36.64,266.87,348.77,7.37,50,2.4,24.74,9.94,4,3,9,Brazil,72.42
53,DeltaFoods,Lending solution in the FinTech space,FinTech,Lending,B2C Subscription,Series B,91,516.92,617,2.89,121,4.3,14.55,14.87,9,9,10,Singapore,57.49
54,FusionFoods,Autonomous Vehicles solution in the Mobility space,Mobility,Autonomous Vehicles,B2C Subscription,Series A,14.77,350.31,391.53,23.36,56,3.7,95.37,7.35,8,8,5,Germany,47.13
55,LambdaAI,Subscription Box solution in the E-commerce space,E-commerce,Subscription Box,Hardware,Pre-Seed,11.72,39.85,66.38,13.96,8,3.4,163.29,10.65,5,4,5,Singapore,58.35
56,EpsilonDynamics,Vision solution in the AI/ML space,AI/ML,Vision,B2C Subscription,Seed,5.72,0,18.04,17.3,25,5.9,76.63,8.01,3,4,2,Australia,52.89
57,FusionFoods,Cloud Security solution in the Cybersecurity space,Cybersecurity,Cloud Security,Hardware,Pre-Seed,17.14,7.82,0,20.16,10,5.3,178.99,12.25,7,7,10,USA,58.01
58,NimbusTech,VR/AR Games solution in the Gaming space,Gaming,VR/AR Games,Marketplace,Seed,45.45,77.03,49.94,28.3,18,2.3,23.91,13,7,7,9,Israel,57.45
59,NimbusAnalytics,Esports solution in the Gaming space,Gaming,Esports,Marketplace,Seed,5.95,51.06,39.06,23.77,16,5.7,139.4,9.06,1,7,6,Australia,58.35
60,EpsilonMobility,Language Learning solution in the EdTech space,EdTech,Language Learning,Hybrid,Pre-Seed,21.86,11.31,0,2.21,6,7,174.68,14.12,7,10,10,USA,54.03
61,EpsilonFoods,Biotech solution in the HealthTech space,HealthTech,Biotech,B2C Subscription,Pre-Seed,30.75,79.51,106.26,24.42,11,9.1,81,2.71,7,6,4,Brazil,45.04
62,ApexAI,MLOps solution in the AI/ML space,AI/ML,MLOps,Hardware,Seed,11.24,153.55,155.12,28.52,28,0.5,70.7,11.59,2,8,1,Israel,48.82
63,LambdaLabs,InsurTech solution in the FinTech space,FinTech,InsurTech,Freemium SaaS,Pre-Seed,2.22,36.96,0,18.51,7,2,192.29,3.93,1,4,4,USA,62.15
64,LambdaDynamics,Esports solution in the Gaming space,Gaming,Esports,Hardware,Series A,30.37,260.04,303.82,15.01,52,6.3,150.49,4.73,10,4,8,Canada,55.09
65,SparkMobility,NLP solution in the AI/ML space,AI/ML,NLP,Freemium SaaS,Series A,18.32,307.75,497.8,3.93,49,1.8,112.81,4.02,3,5,2,Netherlands,60.96
66,CoreLogistics,InsurTech solution in the FinTech space,FinTech,InsurTech,Hardware,Series B,20.24,614.49,724.65,13.5,112,7.1,82.93,2.33,4,2,10,Germany,72.63
67,SparkSystems,Wearables solution in the HealthTech space,HealthTech,Wearables,Hybrid,Series A,29.61,261.37,309.18,15.3,44,6.2,37.35,10.49,6,9,7,Singapore,51.75
68,AlphaFinance,Wearables solution in the HealthTech space,HealthTech,Wearables,Hardware,Pre-Seed,6.66,32.47,27.5,28.14,7,2.1,18.93,4.7,6,8,3,Australia,45.61
69,SparkCloud,Test Prep solution in the EdTech space,EdTech,Test Prep,Hardware,Seed,1.94,188.23,163.8,11.84,18,5.5,83.06,9.18,10,5,6,Germany,49.19
70,PioneerAnalytics,Wearables solution in the HealthTech space,HealthTech,Wearables,Hardware,Series A,6.49,212.33,227.55,24.72,57,5.9,6.45,5.49,7,6,1,Brazil,41.06
71,NimbusNetworks,NLP solution in the AI/ML space,AI/ML,NLP,Marketplace,Series A,112.64,333.61,369.19,10.82,50,2.7,111.73,10.47,6,5,10,Canada,66.46
72,OrbitNetworks,Precision Farming solution in the Agritech space,Agritech,Precision Farming,B2B SaaS,Pre-Seed,11.49,26.54,58.19,36.21,7,7.1,148.13,3.08,7,8,9,Germany,52.5
73,PioneerTech,Autonomous Vehicles solution in the Mobility space,Mobility,Autonomous Vehicles,B2B SaaS,Seed,2.35,129.05,78.66,12.02,18,5.1,96.26,10.63,7,4,5,Netherlands,53.47
74,FusionEdu,Autonomous Systems solution in the AI/ML space,AI/ML,Autonomous Systems,Marketplace,Seed,1.82,104.77,134.68,26.08,21,1,154.64,3.39,9,6,6,Brazil,52.04
75,OmicronAnalytics,Social Commerce solution in the E-commerce space,E-commerce,Social Commerce,B2B SaaS,Series A,23.19,283.26,438.66,14.53,49,7,139.55,5.54,6,2,9,UK,68.96
76,NimbusAI,Wind solution in the CleanTech space,CleanTech,Wind,Freemium SaaS,Series A,30.76,211.86,311.44,1.81,51,5.5,146.98,12.49,9,10,5,India,45.18
77,LambdaEnergy,Battery Storage solution in the CleanTech space,CleanTech,Battery Storage,B2C Subscription,Seed,20.68,153.11,161.04,26.33,20,5.6,8.72,11.07,9,3,5,USA,50.4
78,EpsilonGaming,InsurTech solution in the FinTech space,FinTech,InsurTech,B2B SaaS,Series B,60.77,622.33,736.13,26.29,133,5.8,166.13,2.48,10,5,8,Brazil,54.94
79,ZetaHealth,Micro-mobility solution in the Mobility space,Mobility,Micro-mobility,Marketplace,Series B,17.74,625.05,697.94,27.78,127,6.8,158.56,6.14,8,2,2,Australia,48.31
80,CoreHealth,EV solution in the Mobility space,Mobility,EV,B2C Subscription,Pre-Seed,1.58,93.39,126.22,6.51,4,5.2,187.94,12.38,10,5,2,Germany,42.93
81,SparkMobility,Biotech solution in the HealthTech space,HealthTech,Biotech,Hybrid,Pre-Seed,4.88,120.47,259.51,16.37,9,2,10.33,2.23,9,7,8,Brazil,58.03
82,SigmaComms,Subscription Box solution in the E-commerce space,E-commerce,Subscription Box,Hybrid,Pre-Seed,4,48.27,69.63,35.51,9,2,198.25,5.01,2,4,4,Canada,59.59
83,LambdaSolutions,Digital Pharmacy solution in the HealthTech space,HealthTech,Digital Pharmacy,Hybrid,Pre-Seed,8.44,74.62,104,44.55,6,3.3,152.13,11.05,1,7,8,Netherlands,62.95
84,BetaAnalytics,Micro-mobility solution in the Mobility space,Mobility,Micro-mobility,Marketplace,Series A,7.85,317.18,361.79,7.95,51,4.6,116.86,3.19,8,2,4,Canada,55.09
85,VertexSystems,Esports solution in the Gaming space,Gaming,Esports,Hybrid,Pre-Seed,5.53,79.19,122.2,30.84,7,5.4,17.07,13.07,3,5,3,India,53.16
86,SigmaMobility,Lending solution in the FinTech space,FinTech,Lending,Freemium SaaS,Series B,23.37,425.96,467.64,27.06,115,6.7,114.01,5.47,5,8,2,Brazil,43.02
87,OmicronEdu,Subscription Box solution in the E-commerce space,E-commerce,Subscription Box,Hybrid,Seed,8.95,115.28,184.99,24.22,26,5,136.67,10.04,2,10,1,Australia,44.92
88,AlphaLabs,MLOps solution in the AI/ML space,AI/ML,MLOps,B2C Subscription,Series C,108.41,967.54,1185.08,11.3,262,4.3,163.96,12.82,10,10,1,Canada,39.17
89,ZetaGaming,Mobile Games solution in the Gaming space,Gaming,Mobile Games,Hybrid,Series A,16.77,300.17,401.09,0.11,45,9,23.18,11.89,5,3,10,Australia,69.27
90,NimbusEnergy,EV solution in the Mobility space,Mobility,EV,Hardware,Seed,8.77,126.9,154.68,32.09,28,1.1,187.57,10.94,2,3,6,Australia,66.3
91,ApexCloud,Micro-mobility solution in the Mobility space,Mobility,Micro-mobility,B2B SaaS,Seed,6.37,79.77,77.58,21.75,21,3,174.56,14.66,6,5,6,India,56.08
92,FusionFoods,Network Security solution in the Cybersecurity space,Cybersecurity,Network Security,Hardware,Pre-Seed,8.18,68.36,55.74,18.69,10,0.5,18.31,10.85,9,6,10,Brazil,60.26
93,ThetaAI,EV solution in the Mobility space,Mobility,EV,Hybrid,Pre-Seed,2.65,93.62,144.85,19.01,9,1.5,173.14,8.15,5,8,8,India,60.01
94,ZetaRobotics,Lending solution in the FinTech space,FinTech,Lending,Hybrid,Pre-Seed,23.45,67.14,103.41,25.7,8,4.9,26.79,10.91,7,2,4,India,54.34
95,EpsilonGaming,EV solution in the Mobility space,Mobility,EV,Freemium SaaS,Seed,2.49,84.2,64,19.86,21,2.7,92.13,2.15,5,7,8,Brazil,58.99
96,FusionDynamics,Carbon Capture solution in the CleanTech space,CleanTech,Carbon Capture,Hardware,Pre-Seed,16.39,41.35,15.21,44.72,6,3,49.92,14.83,10,9,3,India,35.78
97,NovaEdu,Subscription Box solution in the E-commerce space,E-commerce,Subscription Box,Marketplace,Series B,54.44,542.08,725.67,23.77,122,6.4,19.4,6.56,5,5,10,Netherlands,68.33
98,PioneerCloud,Ride-sharing solution in the Mobility space,Mobility,Ride-sharing,Hardware,Seed,1.44,49.92,45.85,37.98,24,5.3,35.16,3.36,9,9,7,Brazil,44.23
99,LambdaComms,NLP solution in the AI/ML space,AI/ML,NLP,Hardware,Pre-Seed,22.63,96.23,118.46,13.53,14,1.9,158.36,10.56,7,1,6,Brazil,62.89
100,EpsilonGaming,OT Security solution in the Cybersecurity space,Cybersecurity,OT Security,B2B SaaS,Pre-Seed,4.84,198.25,233.07,10.67,6,5.5,53.02,8.01,10,6,2,Brazil,40.85
101,AlphaDynamics,Biotech solution in the HealthTech space,HealthTech,Biotech,Hardware,Series B,75.14,632.36,734.67,30.74,115,6.4,88.85,11.43,3,2,8,Canada,68.7
102,GammaBiotech,Autonomous Systems solution in the AI/ML space,AI/ML,Autonomous Systems,Freemium SaaS,Series B,126.18,653.93,782.79,13.27,112,7.8,182.65,4.74,7,6,8,Israel,58.19
103,LambdaRobotics,Payments solution in the FinTech space,FinTech,Payments,B2C Subscription,Series A,65.45,369,411.52,18.96,42,5.9,50.95,13.32,7,2,2,Brazil,50.45
104,AlphaHealth,Test Prep solution in the EdTech space,EdTech,Test Prep,Marketplace,Series A,51.33,338.58,263.87,26.49,42,2.5,193.94,5.36,5,6,6,Australia,55.98
105,OrbitFinance,Workforce Upskilling solution in the EdTech space,EdTech,Workforce Upskilling,Hybrid,Series A,7.13,358.04,406.26,18.47,44,6.2,68.73,12.78,3,3,3,India,56.95
106,SparkAnalytics,VR/AR Games solution in the Gaming space,Gaming,VR/AR Games,Hardware,Series B,19.56,522.17,605.2,30.01,108,7.7,9.26,11.57,3,4,8,Canada,64.21
107,AlphaFoods,Micro-mobility solution in the Mobility space,Mobility,Micro-mobility,Marketplace,Series A,15.53,403.84,503.7,19.3,52,5.5,55.41,2.74,3,2,8,Singapore,70.44
108,VertexAI,Game Engines solution in the Gaming space,Gaming,Game Engines,Hardware,Series B,46.66,636.38,766.25,22.33,114,5.8,10.23,3.93,4,7,8,India,61.81
109,CoreEnergy,Carbon Capture solution in the CleanTech space,CleanTech,Carbon Capture,Hybrid,Seed,15.38,117.32,190.68,-8.96,20,6.2,41.97,10.75,5,1,7,Canada,68.45
110,SparkGaming,Payments solution in the FinTech space,FinTech,Payments,Marketplace,Series A,8.74,268.81,418.27,13.09,54,6.4,189.03,10.88,4,10,6,Germany,54.37
111,EpsilonSystems,Battery Storage solution in the CleanTech space,CleanTech,Battery Storage,Freemium SaaS,Series A,137.38,297.12,366.6,25.51,54,7.3,79.99,10.47,5,8,1,Netherlands,41.56
112,GammaRobotics,NLP solution in the AI/ML space,AI/ML,NLP,Marketplace,Series A,8.05,315.13,340.44,14.36,59,6.7,114.27,11.6,3,4,3,Israel,54.8
113,ZetaAI,MLOps solution in the AI/ML space,AI/ML,MLOps,Hardware,Series C,44.91,1048.2,1317.31,2.72,266,5.4,163.93,3.56,5,6,2,Brazil,56.25
114,LambdaLogistics,Digital Pharmacy solution in the HealthTech space,HealthTech,Digital Pharmacy,Hybrid,Seed,22.21,91.35,110.4,9.04,19,1.1,78.93,7.83,7,1,5,Israel,61.84
115,QuantumAI,Biotech solution in the HealthTech space,HealthTech,Biotech,Hybrid,Seed,4.43,33.85,122.72,30.1,22,6,104.78,8.23,6,2,4,Brazil,56.16
116,SparkAnalytics,InsurTech solution in the FinTech space,FinTech,InsurTech,Freemium SaaS,Pre-Seed,5.7,0,0,30.23,7,8.9,130.2,13.67,8,5,7,India,49.8
117,BetaRobotics,K-12 solution in the EdTech space,EdTech,K-12,Hardware,Pre-Seed,8.03,46.87,18.55,17.19,9,2,37.87,10.85,4,9,3,Australia,48.28
118,FusionFinance,Micro-mobility solution in the Mobility space,Mobility,Micro-mobility,Hybrid,Series A,16.78,305.27,299.62,8.99,51,6.6,192.66,8.29,3,7,2,Brazil,48.15
119,OmicronHealth,VR/AR Games solution in the Gaming space,Gaming,VR/AR Games,Freemium SaaS,Seed,8.84,168.21,208.11,15.71,30,4.1,47.16,4.76,8,8,4,Singapore,45.55
120,FusionEnergy,Wearables solution in the HealthTech space,HealthTech,Wearables,B2B SaaS,Seed,7.63,29.87,123.32,7.56,24,2.6,164.88,7.51,4,2,8,India,72.1
121,BetaBiotech,Solar solution in the CleanTech space,CleanTech,Solar,B2C Subscription,Series C,31.86,1013.95,1174.97,36.45,254,7.3,44.91,3.24,10,4,2,Israel,43.71
122,LambdaBiotech,Wind solution in the CleanTech space,CleanTech,Wind,B2C Subscription,Series A,27.97,302.19,355.28,24.64,44,10.4,119.71,8.46,10,1,5,UK,49.83
123,ZetaSystems,Test Prep solution in the EdTech space,EdTech,Test Prep,Freemium SaaS,Series B,28.7,681.96,902.24,9.46,106,7.1,56.28,3.03,3,1,6,Germany,71.34
124,AlphaSolutions,Game Engines solution in the Gaming space,Gaming,Game Engines,Marketplace,Pre-Seed,27.19,20.92,0,13.51,5,1.6,176.26,10.46,7,9,2,India,42.45
125,QuantumEdu,Autonomous Vehicles solution in the Mobility space,Mobility,Autonomous Vehicles,Hybrid,Pre-Seed,1.5,68.7,143.82,7.9,10,2.2,91.17,11.83,9,4,10,USA,65.31
126,PioneerTech,Ag Robotics solution in the Agritech space,Agritech,Ag Robotics,B2B SaaS,Series C,58.27,1065.7,1218.11,9.66,279,3.2,168.72,8.77,7,7,2,Brazil,49.21
127,GammaBiotech,EV solution in the Mobility space,Mobility,EV,Hybrid,Pre-Seed,4.06,61.27,47.15,23.62,7,4.2,62.49,7.16,3,5,10,Netherlands,67.49
128,ApexMobility,Ag Robotics solution in the Agritech space,Agritech,Ag Robotics,Hybrid,Seed,13.02,207.79,192.78,28.36,25,4.1,186.26,3.51,9,10,7,India,44.59
129,VertexFoods,Digital Pharmacy solution in the HealthTech space,HealthTech,Digital Pharmacy,B2C Subscription,Seed,5.2,158.32,218.41,26,17,1.6,139.6,6.5,8,7,7,India,54.5
130,NovaAI,Autonomous Systems solution in the AI/ML space,AI/ML,Autonomous Systems,Marketplace,Series C,41.16,1002.53,1211.56,12.75,249,6.4,153.43,4.27,8,2,2,India,54.2
131,DeltaEnergy,Biotech solution in the HealthTech space,HealthTech,Biotech,B2C Subscription,Series A,2.66,303.2,345.25,5.08,37,7,87.63,6.05,10,9,9,Singapore,50
132,QuantumFinance,Biotech solution in the HealthTech space,HealthTech,Biotech,Freemium SaaS,Pre-Seed,7.72,0,14.66,22.83,6,2.4,13.52,14.93,5,10,5,Singapore,48.86
133,EpsilonGaming,Digital Pharmacy solution in the HealthTech space,HealthTech,Digital Pharmacy,B2C Subscription,Series B,61.49,583.15,669.11,11.98,126,6.3,163.17,10,6,9,6,India,51.16
134,VertexCloud,D2C solution in the E-commerce space,E-commerce,D2C,Hybrid,Series A,20.13,347.48,342.73,-10.54,41,7.9,91.06,4.53,9,1,10,Canada,65.13
135,OmicronRobotics,Lending solution in the FinTech space,FinTech,Lending,Marketplace,Seed,2.9,9.9,38.95,27.59,24,2.8,5.8,5.38,3,3,10,Australia,72.01
136,AlphaLabs,Digital Pharmacy solution in the HealthTech space,HealthTech,Digital Pharmacy,Freemium SaaS,Seed,0.93,72.69,106.82,5.21,31,4.4,23.73,9.12,7,7,8,Singapore,57.2
137,SigmaBiotech,Test Prep solution in the EdTech space,EdTech,Test Prep,Hybrid,Series A,52.31,292.07,349.12,5.67,41,5.7,76.43,7.13,1,3,3,Netherlands,61.87
138,OmicronFoods,Payments solution in the FinTech space,FinTech,Payments,Freemium SaaS,Seed,29.06,173.56,197.81,13.31,23,6.1,52.42,12.93,10,8,7,Canada,46.82
139,QuantumFinance,Solar solution in the CleanTech space,CleanTech,Solar,B2B SaaS,Seed,41.51,69.71,120.76,22.99,22,4.1,31.73,11.59,10,8,9,Canada,52.16
140,ApexMobility,Lending solution in the FinTech space,FinTech,Lending,B2B SaaS,Pre-Seed,4.04,150.67,187.63,16.35,4,4.4,60.71,6.55,5,4,3,Canada,53.67
141,DeltaTech,Social Commerce solution in the E-commerce space,E-commerce,Social Commerce,Hardware,Series A,34.61,357.89,406.9,10.64,39,4.4,6.15,3.07,3,3,7,Israel,67.11
142,GammaLogistics,Battery Storage solution in the CleanTech space,CleanTech,Battery Storage,Freemium SaaS,Pre-Seed,14.93,80.36,161.99,7.47,8,3,196.03,9.82,1,8,2,Singapore,54.95
143,CoreLogistics,VR/AR Games solution in the Gaming space,Gaming,VR/AR Games,Freemium SaaS,Series A,68.22,325.39,417.38,25.73,41,3.9,89,9.97,5,2,7,USA,65.76
144,SparkFoods,NLP solution in the AI/ML space,AI/ML,NLP,Freemium SaaS,Series B,11.32,588.94,692.89,18.07,113,7.6,172.55,13,2,7,2,Germany,51.11
145,OrbitLabs,OT Security solution in the Cybersecurity space,Cybersecurity,OT Security,Hardware,Series B,47.77,614.13,724.52,31.07,133,7.3,37.13,9.09,6,4,6,UK,56.73
146,OrbitEdu,Telemedicine solution in the HealthTech space,HealthTech,Telemedicine,B2C Subscription,Series B,139.6,619.98,711.41,9.71,120,7.2,147.09,9.05,6,6,3,Germany,49.37
